strDrink,strCategory,strDrinkThumb,ingredients,measurments_ingredients,strInstructions,strGlass,strAlcoholic
57 Chevy with a White License Plate,Cocktail,http://www.thecocktaildb.com/images/media/drink/qyyvtu1468878544.jpg,"Creme de Cacao,Vodka,,,,,,,,,,,,,","1 oz white Creme de Cacao,1 oz Vodka, , , , , , , , , , ",1. Fill a rocks glass with ice 2.add white creme de cacao and vodka 3.stir,Highball glass,Alcoholic
1-900-FUK-MEUP,Shot,http://www.thecocktaildb.com/images/media/drink/uxywyw1468877224.jpg,"Absolut Kurant,Grand Marnier,Chambord raspberry liqueur,Midori melon liqueur,Malibu rum,Amaretto,Cranberry,Pineapple,,,,,,,","1/2 oz Absolut Kurant,1/4 oz Grand Marnier,1/4 oz Chambord raspberry liqueur,1/4 oz Midori melon liqueur,1/4 oz Malibu rum,1/4 oz Amaretto,1/2 oz Cranberry juice,1/4 oz Pineapple juice, , , , ",Shake ingredients in a mixing tin filled with ice cubes. Strain into a rocks glass.,Old-fashioned glass,Alcoholic
110 in the shade,Beer,http://www.thecocktaildb.com/images/media/drink/xxyywq1454511117.jpg,"Beer,Tequila,,,,,,,,,,,,,","16 oz Lager,1.5 oz Tequila, , , , , , , , , , ",Drop shooter in glass. Fill with beer,Beer Glass,Alcoholic
151 Florida Bushwacker,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/rvwrvv1468877323.jpg,"Malibu rum,Light rum,151 proof rum,Dark Creme de Cacao,Cointreau,Milk,Coconut liqueur,Vanilla ice-cream,,,,,,,","1/2 oz Malibu rum,1/2 oz Light rum,1/2 oz Bacardi 151 proof rum,1 oz Dark Creme de Cacao,1 oz Cointreau,3 oz Milk,1 oz Coconut liqueur,1 cup Vanilla ice-cream, , , , ",Combine all ingredients. Blend until smooth. Garnish with chocolate shavings if desired.,Beer mug,Alcoholic
155 Belmont,Cocktail,http://www.thecocktaildb.com/images/media/drink/yqvvqs1475667388.jpg,"Dark rum,Light rum,Vodka,Orange,,,,,,,,,,,","1 shot Dark rum,2 shots Light rum,1 shot Vodka,1 shot Orange juice, , , , , , , , ",Blend with ice. Serve in a wine glass. Garnish with carrot.,White wine glass,Alcoholic
24k nightmare,Shot,http://www.thecocktaildb.com/images/media/drink/yyrwty1468877498.jpg,"Goldschlager,Jägermeister,Rumple Minze,151 proof rum,,,,,,,,,,,","1/2 oz Goldschlager,1/2 oz Jägermeister,1/2 oz Rumple Minze,1/2 oz Bacardi 151 proof rum, , , , , , , , ","Add over ice,shake and pour.",Shot glass,Alcoholic
252,Shot,http://www.thecocktaildb.com/images/media/drink/rtpxqw1468877562.jpg,"151 proof rum,Wild Turkey,,,,,,,,,,,,,","1/2 shot Bacardi 151 proof rum,1/2 shot Wild Turkey, , , , , , , , , , ","Add both ingredients to shot glass, shoot, and get drunk quick",Shot glass,Alcoholic
3 Wise Men,Shot,http://www.thecocktaildb.com/images/media/drink/wxqpyw1468877677.jpg,"Jack Daniels,Johnnie Walker,Jim Beam,,,,,,,,,,,,","1/3 oz Jack Daniels,1/3 oz Johnnie Walker,1/3 oz Jim Beam, , , , , , , , , ",put them them in a glass... and slam it to tha head.,Collins glass,Alcoholic
3-Mile Long Island Iced Tea,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/rrtssw1472668972.jpg,"Gin,Light rum,Tequila,Triple sec,Vodka,Coca-Cola,Sweet and sour,Bitters,Lemon,,,,,,","1/2 oz Gin,1/2 oz Light rum,1/2 oz Tequila,1/2 oz Triple sec,1/2 oz Vodka,
 Coca-Cola,1-2 dash Sweet and sour,1 wedge Bitters, Lemon, , , ",Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.,Collins Glass,Alcoholic
410 Gone,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xtuyqv1472669026.jpg,"Peach Vodka,Coca-Cola,,,,,,,,,,,,,","2-3 oz Peach Vodka, Coca-Cola, , , , , , , , , , ",,Collins Glass,Alcoholic
50/50,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/wwpyvr1461919316.jpg,"Vanilla vodka,Grand Marnier,Orange,,,,,,,,,,,,","2 1/2 oz Vanilla vodka,1 splash Grand Marnier,Fill with Orange juice, , , , , , , , , ",fill glass with crushed ice. Add vodka. Add a splash of grand-marnier. Fill with o.j.,Collins Glass,Alcoholic
501 Blue,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ywxwqs1461867097.jpg,"Blue Curacao,Blueberry schnapps,Vodka,Sour mix,7-Up,,,,,,,,,,","Blue Curacao,Blueberry schnapps,Vodka,Sour mix,7-Up,",Mix equal amounts into a glass with ice.,Collins Glass,Alcoholic
69 Special,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vqyxqx1472669095.jpg,"Gin,7-Up,Lemon,,,,,,,,,,,,","2 oz dry Gin,4 oz 7-Up,0.75 oz Lemon juice, , , , , , , , , ","Pour 2 oz. gin. Add 4 oz. 7-up. Add Lemon Juice for flavor. If you are weak, top up glass with more 7-Up.",Collins Glass,Alcoholic
747,Shot,http://www.thecocktaildb.com/images/media/drink/xxsxqy1472668106.jpg,"Kahlua,Bailey's irish cream,Frangelico,,,,,,,,,,,,","1/3 part Kahlua,1/3 part Bailey's irish cream,1/3 part Frangelico, , , , , , , , , ","pour kaluha, then Bailey's, then Frangelico not chilled and not layered -- SERVE!!!",Shot glass,Alcoholic
9 1/2 Weeks,Cocktail,http://www.thecocktaildb.com/images/media/drink/xvwusr1472669302.jpg,"Absolut Citron,Orange Curacao,Strawberry liqueur,Orange,,,,,,,,,,,","2 oz Absolut Citron,1/2 oz Orange Curacao,1 splash Strawberry liqueur,1 oz Orange juice, , , , , , , , ",Combine all ingredients in glass mixer. Chill and strain into Cocktail glass. Garnish with sliced strawberry.,Cocktail glass,Alcoholic
A Day at the Beach,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/trptts1454514474.jpg,"Coconut rum,Amaretto,Orange,Grenadine,,,,,,,,,,,","1 oz Coconut rum,1/2 oz Amaretto,4 oz Orange juice,1/2 oz Grenadine, , , , , , , , ","Shake Rum, Amaretto, and Orange Juice in a shaker filled with ice. Strain over ice into a highball glass. Add Grenadine and garnish with a Pineapple Wedge and a Strawberry.",Highball glass,Alcoholic
A Furlong Too Late,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ssxvww1472669166.jpg,"Light rum,Ginger beer,Lemon,,,,,,,,,,,,","2 oz Light rum,4 oz Ginger beer,1 twist of Lemon peel, , , , , , , , , ",Pour the rum and ginger beer into a highball glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.,Highball glass,Alcoholic
A Gilligan's Island,Cocktail,http://www.thecocktaildb.com/images/media/drink/wysqut1461867176.jpg,"Vodka,Peach schnapps,Orange,Cranberry,,,,,,,,,,,","1 oz Vodka,1 oz Peach schnapps,3 oz Orange juice,3 oz Cranberry juice, , , , , , , , ","Shaken, not stirred!",Collins glass,Alcoholic
A Night In Old Mandalay,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vyrvxt1461919380.jpg,"Light rum,Añejo rum,Orange,Lemon,Ginger ale,,,,,,,,,","1 oz Light rum,1 oz Añejo rum,1 oz Orange juice,1/2 oz Lemon juice,3 oz Ginger ale,1 twist of Lemon peel, , , , , , ","In a shaker half-filled with ice cubes, combine the light rum, añejo rum, orange juice, and lemon juice. Shake well. Strain into a highball glass almost filled with ice cubes. Top with the ginger ale. Garnish with the lemon twist.",Highball glass,Alcoholic
A Piece of Ass,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/tqxyxx1472719737.jpg,"Amaretto,Southern Comfort,Ice,Sour mix,,,,,,,,,,,","1 shot Amaretto,1 shot Southern Comfort, cubes Ice, Sour mix",Put ice in glass. Pour in shots. Fill with Sour Mix.,Highball glass,Alcoholic
