Strogonoff de frango,Medalhão de filé mignon
Medalhão de filé mignon,Polpetone recheado
Polpetone recheado,Kibe
Kibe,Frango assado com batata
Frango assado com batata,Batata recheada
Batata recheada,Frango cremoso
Frango cremoso,Lasanha
Lasanha,Bife a milanesa
Bife a milanesa,Charuto de repolho
Charuto de repolho,Strogonoff de carne
Strogonoff de carne,Sobá
Sobá,Ovos rancheiros
Ovos rancheiros,Coxinha
Coxinha,Espaguete Alfredo com Linguiça
Espaguete Alfredo com Linguiça,Hot dog americano
Hot dog americano,Bife a cavalo e batata frita
Bife a cavalo e batata frita,Carê com arroz
Carê com arroz,Tutu de Feijão com Ovo Frito
Tutu de Feijão com Ovo Frito,Bobó de frango
Bobó de frango,Purê de mandioca com carne moída
Purê de mandioca com carne moída,Carne com batatinha picada
Carne com batatinha picada,Salgados assados
Salgados assados,Rocambole de presunto e queijo
Rocambole de presunto e queijo,Carne de porco com molho teriaky
Carne de porco com molho teriaky,Macarrão com molho vermelho
Macarrão com molho vermelho,Panqueca carne/frango
Panqueca carne/frango,Polenta com frango e quiabo
Polenta com frango e quiabo,Almondêga com pure
Almondêga com pure,Carne moída com chuchu
Carne moída com chuchu,Bisteca de porco
Bisteca de porco,Bife a cavalo acebolado
Bife a cavalo acebolado,Abóbora refogada
Abóbora refogada,Pizza caseira
Pizza caseira,Fricasse de frango
